Title,URL
"Llama3.np: pure NumPy implementation of Llama3","https://github.com/likejazz/llama3.np"
"Build WebGPU Apps Today with PlayCanvas","https://blog.playcanvas.com/build-webgpu-apps-today-with-playcanvas/"
"ChatGPT-4o vs. Math","https://www.sabrina.dev/p/chatgpt4o-vs-math"
"D3 in Depth","https://www.d3indepth.com/"
"Google Gemini: Context Caching","https://ai.google.dev/gemini-api/docs/caching"
"F* â€“ A Proof-Oriented Programming Language","https://www.fstar-lang.org/"
"Using Llamafiles for Embeddings in Local RAG Applications","https://future.mozilla.org/news/llamafiles-for-embeddings-in-local-rag-applications/"
"The most confusing emojis in every US state in 2024","https://preply.com/en/blog/most-confusing-emojis-2024/"
"The Tragic Downfall of the Internet's Art Gallery","https://slate.com/technology/2024/05/deviantart-what-happened-ai-decline-lawsuit-stability.html"
"Raspberry Pi prepares for London listing","https://www.ft.com/content/6d846a93-030a-4106-b045-d74a216493b0"